Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Spencer Howard,TEX,25,3,1,0,0,6.2,10,9,12,2,6,0,1,0,0,0,12.15,1.80
Joey Wentz,DET,24,2,2,0,0,6.2,8,6,5,2,0,0,1,0,0,0,8.10,1.50
Logan Gillaspie,BAL,25,7,0,0,0,6.2,8,1,1,0,0,0,0,0,1,0,1.35,1.20
Drew Carlton,DET,26,4,0,0,0,6.2,4,2,6,0,1,0,0,0,0,0,2.70,0.60
Miguel Sanchez,MIL,28,5,0,0,0,6.2,4,1,5,3,0,1,1,0,0,0,1.35,1.05
Ronel Blanco,HOU,28,7,0,0,0,6.1,8,5,7,4,1,0,0,0,0,0,7.11,1.89
Jovani Moran,MIN,25,5,0,0,0,6.1,2,0,12,3,0,0,0,0,0,0,0.00,0.79
Ryan Borucki,TOR,28,11,0,0,0,6.1,7,7,8,5,2,0,0,0,0,2,9.95,1.89
Edward Cabrera,MIA,24,1,1,0,0,6.0,1,0,9,4,0,1,0,0,0,0,0.00,0.83
Logan Allen,CLE,25,4,0,0,0,6.0,9,3,6,3,0,1,0,0,0,0,4.50,2.00
Luis Frias,ARI,24,4,0,0,0,6.0,10,9,3,7,0,0,0,0,0,1,13.50,2.83
Pierce Johnson,SD,31,6,0,0,0,6.0,6,3,11,4,0,0,1,0,0,5,4.50,1.67
Kenny Rosenberg,LAA,26,2,0,0,0,6.0,7,5,7,3,1,0,0,0,0,0,7.50,1.67
Matt Swarmer,CHC,28,1,1,0,0,6.0,5,1,6,1,2,0,0,0,0,0,1.50,1.00
Dusten Knight,TB,31,3,0,0,0,5.2,4,1,4,3,0,0,1,0,0,0,1.59,1.24
Joe Kelly,CWS,33,7,0,0,0,5.2,8,6,8,6,0,0,1,0,0,6,9.53,2.47
Jesse Chavez,CHC,38,3,0,0,0,5.2,7,4,3,2,1,0,0,0,1,0,6.35,1.59
Marcos Diplan,BAL,25,5,0,0,0,5.2,4,1,8,5,0,0,0,0,0,0,1.59,1.59
Patrick Murphy,WAS,26,6,0,0,0,5.2,8,4,4,8,0,0,0,0,0,0,6.35,2.82
Phillip Diehl,CIN,27,5,0,0,0,5.2,8,7,3,3,3,0,0,0,0,0,11.12,1.94
Trevor Kelley,MIL,28,6,0,0,0,5.2,10,6,6,1,3,1,0,0,1,1,9.53,1.94
Chris Mazza,TB,32,2,0,0,0,5.1,9,7,5,6,3,1,0,0,0,0,11.81,2.81
Andrew Vasquez,TOR,28,7,0,0,0,5.1,5,5,6,3,1,0,0,0,0,0,8.44,1.50
Robert Dugger,TB,26,1,0,0,0,5.1,8,3,7,0,0,0,0,0,0,0,5.06,1.50
Zac Lowther,BAL,26,1,0,0,0,5.1,8,5,1,2,0,0,0,0,0,0,8.44,1.88
Javy Guerra,TB,26,6,0,0,0,5.1,8,5,3,1,2,0,0,0,0,0,8.44,1.69
Sean Doolittle,WAS,35,6,0,0,0,5.1,1,0,6,0,0,0,0,0,0,2,0.00,0.19
Sam Selman,OAK,31,4,0,0,0,5.1,2,0,7,2,0,0,0,0,1,0,0.00,0.75
Jake Brentz,KC,27,8,0,0,0,5.1,11,14,9,10,1,0,3,0,0,2,23.63,3.94
Parker Mushinski,HOU,26,5,0,0,0,5.1,5,3,7,1,0,0,0,0,0,0,5.06,1.13
Francisco Perez,WAS,24,6,0,0,0,5.1,6,3,4,6,1,0,0,0,0,0,5.06,2.25
Andrew Wantz,LAA,26,4,0,0,0,5.1,4,2,4,0,1,0,0,0,0,0,3.38,0.75
Adrian Martinez,OAK,25,1,1,0,0,5.1,4,0,3,0,0,1,0,0,0,0,0.00,0.75
Sean Newcomb,ATL,28,3,0,0,0,5.0,7,4,4,4,1,0,0,0,0,0,7.20,2.20
Max Kranick,PIT,24,2,0,0,0,5.0,3,0,4,3,0,0,0,0,0,1,0.00,1.20
Jhon Romero,MIN,27,4,0,0,0,5.0,9,2,6,1,0,0,0,0,0,0,3.60,2.00
Angel Rondon,STL,24,1,0,0,0,5.0,1,0,4,3,0,1,0,0,0,0,0.00,0.80
Damon Jones,PHI,27,4,0,0,0,4.2,4,5,5,5,0,0,0,0,0,0,9.64,1.93
Edwin Uceta,ARI,24,3,0,0,0,4.2,5,5,2,4,0,0,0,0,0,0,9.64,1.93
Michael Grove,LAD,25,2,1,0,0,4.2,7,3,3,4,0,0,0,0,0,0,5.79,2.36
Austin Pruitt,OAK,32,2,0,0,0,4.2,4,0,2,0,0,0,0,0,0,0,0.00,0.86
Keynan Middleton,ARI,28,6,0,0,0,4.2,2,2,5,1,2,1,1,0,1,1,3.86,0.64
Justus Sheffield,SEA,26,4,0,0,0,4.2,1,0,2,2,0,0,0,0,0,0,0.00,0.64
Greg Holland,TEX,36,5,0,0,0,4.2,6,4,5,1,3,0,1,0,0,0,7.71,1.50
Jared Solomon,CIN,24,5,0,0,0,4.2,3,2,6,2,0,0,0,0,0,0,3.86,1.07
Matt Koch,SEA,31,4,0,0,0,4.1,5,4,3,1,2,0,0,0,0,0,8.31,1.38
Chris Ellis,BAL,29,2,2,0,0,4.1,5,5,2,6,0,0,0,0,0,0,10.38,2.54
Juan Minaya,MIN,31,2,0,0,0,4.1,2,2,3,1,0,0,0,0,0,0,4.15,0.69
Pedro Avila,SD,25,2,0,0,0,4.0,3,2,5,1,1,0,0,0,0,0,4.50,1.00
Sean Hjelle,SF,25,2,0,0,0,4.0,2,2,6,2,0,0,0,0,0,0,4.50,1.00
Daniel Castano,MIA,27,3,0,0,0,4.0,5,0,2,0,0,0,1,0,0,0,0.00,1.25
Dereck Rodriguez,MIN,29,1,0,0,0,4.0,4,3,2,3,3,0,0,0,0,0,6.75,1.75
Luis Gil,NYY,24,1,1,0,0,4.0,5,4,5,2,0,0,0,0,0,0,9.00,1.75
Zack Thompson,STL,24,1,0,0,0,4.0,3,1,3,1,0,0,0,1,0,0,2.25,1.00
Sam Clay,WAS,28,5,0,0,0,4.0,3,5,3,2,1,0,0,0,0,0,11.25,1.25
Anderson Espinoza,CHC,24,1,0,0,0,4.0,2,2,6,3,1,0,1,0,0,0,4.50,1.25
Roenis Elias,SEA,33,3,0,0,0,4.0,3,2,3,2,1,0,0,0,0,0,4.50,1.25
Tommy Kahnle,LAD,32,4,0,0,0,4.0,3,3,5,2,2,0,0,0,0,1,6.75,1.25
Oliver Perez,ARI,40,7,0,0,0,4.0,8,7,1,1,1,1,1,0,0,0,15.75,2.25
Mike Minor,CIN,34,1,1,0,0,4.0,6,5,4,0,3,0,1,0,0,0,11.25,1.50
Justin Wilson,CIN,34,5,0,0,0,3.2,3,1,7,0,0,0,1,0,0,0,2.45,0.82
Tommy Romero,TB,24,2,1,0,0,3.2,3,4,4,5,2,0,0,0,0,0,9.82,2.18
Alexander Wells,BAL,25,2,0,0,0,3.2,5,2,6,0,2,0,0,0,0,0,4.91,1.36
Evan Lee,WAS,24,1,1,0,0,3.2,4,2,2,3,0,0,1,0,0,0,4.91,1.91
Danny Young,SEA,28,2,0,0,0,3.2,7,3,5,2,1,0,0,0,0,0,7.36,2.45
Ryan Hendrix,CIN,27,5,0,0,0,3.1,5,3,4,4,0,0,0,0,0,0,8.10,2.70
Casey Lawrence,TOR,34,2,0,0,0,3.1,4,1,0,1,0,0,0,0,0,0,2.70,1.50
Jackson Kowar,KC,25,1,0,0,0,3.1,11,7,4,1,0,0,0,0,0,0,18.90,3.60
Ross Detwiler,CIN,36,4,0,0,0,3.1,2,0,3,1,0,0,0,0,0,1,0.00,0.90
Sean Newcomb,CHC,28,3,0,0,0,3.1,3,3,3,1,1,0,0,0,0,0,8.10,1.20
Chi Chi Gonzalez,MIN,30,1,1,0,0,3.0,4,3,1,0,2,0,0,0,0,0,9.00,1.33
Blake Treinen,LAD,33,3,0,0,0,3.0,1,1,5,0,1,1,1,0,0,1,3.00,0.33
Jake Reed,NYM,29,2,0,0,0,3.0,0,0,2,2,0,1,0,0,0,0,0.00,0.67
Yoan Lopez,NYM,29,2,0,0,0,3.0,5,3,4,0,1,0,0,0,0,0,9.00,1.67
Tyler Holton,ARI,25,2,0,0,0,3.0,2,0,2,0,0,0,0,0,0,0,0.00,0.67
Taylor Widener,ARI,27,3,0,0,0,3.0,5,2,2,1,1,0,0,0,0,1,6.00,2.00
Robert Dugger,CIN,26,1,0,0,0,3.0,5,3,5,1,1,0,0,0,0,0,9.00,2.00
Zach Pop,MIA,25,2,0,0,0,3.0,5,3,4,0,0,0,0,0,0,0,9.00,1.67
Francisco Morales,PHI,22,2,0,0,0,3.0,0,0,3,4,0,0,0,1,0,0,0.00,1.33
Cody Sedlock,BAL,26,1,0,0,0,3.0,6,5,3,1,0,0,0,0,0,0,15.00,2.33
Yerry De Los Santos,PIT,24,2,0,0,0,3.0,3,2,4,2,2,0,0,0,0,0,6.00,1.67
Beau Sulser,BAL,28,1,0,0,0,3.0,7,2,0,0,0,0,0,0,0,0,6.00,2.33
Kirk McCarty,CLE,26,1,0,0,0,3.0,4,4,3,2,2,0,0,0,0,0,12.00,2.00
Matt Peacock,KC,28,4,0,0,0,3.0,2,0,3,2,0,0,0,0,0,0,0.00,1.33
Josh Winckowski,BOS,23,1,1,0,0,3.0,6,4,4,3,1,0,1,0,0,0,12.00,3.00
Tayler Saucedo,TOR,28,4,0,0,0,2.2,6,4,0,1,3,0,0,0,0,0,13.50,2.63
Matt Peacock,ARI,28,2,0,0,0,2.2,3,2,2,2,1,0,0,0,0,0,6.75,1.88
Daniel Duarte,CIN,25,3,0,0,0,2.2,3,3,2,3,1,0,0,0,0,0,10.13,2.25
Jake Walsh,STL,26,3,0,0,0,2.2,3,4,5,2,0,0,1,0,0,0,13.50,1.88
Kyle Muller,ATL,24,1,1,0,0,2.2,4,7,3,6,0,0,1,0,0,0,23.63,3.75
Ethan Small,MIL,25,1,1,0,0,2.2,4,2,4,4,0,0,0,0,0,0,6.75,3.00
Shawn Armstrong,TB,31,3,0,0,0,2.2,4,1,4,1,0,0,0,0,0,1,3.38,1.88
Garrett Cleavinger,LAD,28,3,0,0,0,2.2,3,1,4,2,0,0,0,0,0,0,3.38,1.88
Hunter Harvey,WAS,27,4,0,0,0,2.2,1,0,3,1,0,0,0,0,0,0,0.00,0.75
Foster Griffin,KC,26,3,0,0,0,2.2,3,4,0,3,0,0,0,0,0,0,13.50,2.25
Ryan Castellani,OAK,26,3,0,0,0,2.2,2,0,1,0,0,0,0,0,0,1,0.00,0.75
Pedro Baez,HOU,34,3,0,0,0,2.1,5,3,2,3,0,0,0,0,0,0,11.57,3.43
J.C. Mejia,MIL,25,2,0,0,0,2.1,5,6,1,5,0,0,0,0,0,0,23.14,4.29
Jorge Alcala,MIN,26,2,0,0,0,2.1,2,0,2,2,0,0,0,0,0,0,0.00,1.71
Austin Adams,SD,31,2,0,0,0,2.1,0,0,2,3,0,1,0,0,0,0,0.00,1.29
Ray Kerr,SD,27,3,0,0,0,2.1,1,2,2,1,1,0,0,0,0,0,7.71,0.86
Angel De Jesus,DET,25,1,0,0,0,2.0,1,0,3,2,0,0,0,0,0,0,0.00,1.50
Calvin Faucher,TB,26,2,0,0,0,2.0,5,5,1,2,1,0,0,0,0,0,22.50,3.50
Tanner Tully,CLE,27,1,0,0,0,2.0,2,1,0,1,1,0,0,0,0,0,4.50,1.50
William Woods,ATL,23,2,0,0,0,2.0,2,0,2,1,0,0,0,0,0,0,0.00,1.50
Chad Smith,COL,26,2,0,0,0,2.0,5,6,1,2,0,0,0,0,0,0,27.00,3.50
Peter Strzelecki,MIL,27,1,0,0,0,2.0,2,1,3,2,0,1,0,0,0,0,4.50,2.00
Jose Cuas,KC,27,2,0,0,0,2.0,1,0,2,1,0,0,0,0,0,0,0.00,1.00
Nick Vespi,BAL,26,1,0,0,0,2.0,1,0,3,1,0,1,0,0,0,0,0.00,1.00
Anthony Kay,TOR,27,1,0,0,0,2.0,2,1,3,1,0,0,0,0,0,0,4.50,1.50
Junior Fernandez,STL,25,1,0,0,0,2.0,2,0,1,0,0,0,0,0,0,0,0.00,1.00
Jose Quijada,LAA,26,3,0,0,0,2.0,3,1,3,2,0,0,1,0,0,0,4.50,2.50
David McKay,NYY,27,2,0,0,0,2.0,1,0,1,2,0,0,0,0,0,0,0.00,1.50
Locke St. John,CHC,29,1,0,0,0,2.0,3,3,4,0,2,0,0,0,0,0,13.50,1.50
Luke Barker,MIL,30,1,0,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0.00,0.00
Jesus Cruz,ATL,27,2,0,0,0,2.0,3,1,1,1,0,0,0,0,0,0,4.50,2.00
Robbie Erlin,LAD,31,2,0,0,0,2.0,2,2,1,1,1,0,0,0,0,0,9.00,1.50
Shane Greene,LAD,33,1,0,0,0,2.0,2,0,1,0,0,1,0,0,0,0,0.00,1.00
Arodys Vizcaino,KC,31,2,0,0,0,2.0,1,0,1,1,0,0,0,0,0,0,0.00,1.00
Manny Banuelos,NYY,31,1,0,0,0,2.0,1,0,1,0,0,0,0,0,0,0,0.00,0.50
Sam Howard,PIT,29,3,0,0,0,2.0,2,2,1,4,1,0,0,0,0,0,9.00,3.00
Javy Guerra,SD,26,1,0,0,0,2.0,3,4,1,3,1,0,0,0,0,0,18.00,3.00
Jordan Weems,WAS,29,2,0,0,0,1.2,2,2,2,1,0,0,0,0,0,0,10.80,1.80
Jeremy Beasley,TOR,26,1,0,0,0,1.2,1,2,3,1,1,0,0,0,0,0,10.80,1.20
Caleb Ferguson,LAD,25,2,0,0,0,1.2,0,0,2,3,0,0,0,0,0,1,0.00,1.80
Gregory Santos,SF,22,1,0,0,0,1.2,0,0,1,0,0,0,0,0,0,0,0.00,0.00
Logan Allen,BAL,25,3,0,0,0,1.2,3,2,1,2,0,0,0,0,0,0,10.80,3.00
Kervin Castro,SF,23,2,0,0,0,1.2,4,5,4,2,0,0,0,0,0,0,27.00,3.60
Elvis Peguero,LAA,25,2,0,0,0,1.1,3,3,0,1,2,0,0,0,0,0,20.25,3.00
Thomas Szapucki,NYM,25,1,1,0,0,1.1,7,9,2,3,4,0,1,0,0,0,60.75,7.50
Parker Markel,OAK,31,2,0,0,0,1.1,1,0,2,3,0,0,0,0,0,0,0.00,3.00
Conner Menez,CHC,27,1,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0.00,1.00
Riley O'Brien,SEA,27,1,0,0,0,1.0,1,0,1,1,0,0,0,0,0,0,0.00,2.00
Mason Thompson,WAS,24,2,0,0,0,1.0,0,0,3,2,0,0,0,0,0,0,0.00,2.00
Paul Fry,ARI,29,1,0,0,0,1.0,2,1,2,2,0,0,0,0,0,0,9.00,4.00
Cesar Valdez,LAA,37,1,0,0,0,1.0,2,1,0,0,0,0,0,0,0,0,9.00,2.00
Adrian Sampson,CHC,30,1,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,0.00,2.00
Domingo Tapia,OAK,30,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Nick Snyder,TEX,26,2,0,0,0,1.0,1,2,0,3,0,0,0,0,0,0,18.00,4.00
Janson Junk,LAA,26,1,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0.00,1.00
Cam Alldred,PIT,25,1,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0.00,1.00
Luke Weaver,ARI,28,1,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,13.50,4.50
JT Chargois,TB,31,1,0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0.00,0.00
Bowden Francis,TOR,26,1,0,0,0,0.2,1,0,1,0,0,0,0,0,0,0,0.00,1.50
Luis Patino,TB,22,1,1,0,0,0.2,1,1,0,0,0,0,1,0,0,0,13.50,1.50
Brian Moran,LAA,33,1,0,0,0,0.1,3,2,0,1,1,0,0,0,0,0,54.00,12.00
